"race"	"distance"	"climb"	"time"
"1"	"GreenmantleNewYearDash"	2.5	0.65	16.08
"2"	"Carnethy5HillRace"	6	2.5	48.35
"3"	"CraigDunainHillRace"	6	0.9	33.65
"4"	"BenRhaHillRace"	7.5	0.8	45.6
"5"	"BenLomondHillRace"	8	3.07	62.27
"6"	"GoatfellHillRace"	8	2.866	73.22
"7"	"BensofJuraFellRace"	16	7.5	204.62
"8"	"CairnpappleHillRace"	6	0.8	36.37
"9"	"ScoltyHillRace"	5	0.8	29.75
"10"	"TraprainLawRace"	6	0.65	39.75
"11"	"LairigGhruFunRun"	28	2.1	192.67
"12"	"DollarHillRace"	5	2	43.05
"13"	"LomondsofFifeHillRace"	9.5	2.2	65
"14"	"CairnTableHillRace"	6	0.5	44.13
"15"	"EildonTwoHillsRace"	4.5	1.5	26.93
"16"	"CairngormHillRace"	10	3	72.25
"17"	"SevenHillsofEdinburghRace"	14	2.2	98.42
"18"	"KnockHillRace"	3	0.35	16.12
"19"	"BlackHillRace"	4.5	1	17.42
"20"	"CreagBeagHillRace"	5.5	0.6	32.57
"21"	"KildoonHillRace"	3	0.3	15.95
"22"	"MeallAntSuidheHillRace"	3.5	1.5	27.9
"23"	"HalfBenNevis"	6	2.2	47.65
"24"	"CowHillRace"	2	0.9	17.93
"25"	"NorthBerwickLawRace"	3	0.6	18.68
"26"	"CreagDubhHillRace"	4	2	26.22
"27"	"BurnswarkHillRace"	6	0.8	34.43
"28"	"LargoLawRace"	5	0.95	28.57
"29"	"CriffelHillRace"	6.5	1.75	50.5
"30"	"AchmonyHillRace"	5	0.5	20.95
"31"	"BenNevisRace"	10	4.4	85.58
"32"	"KnockfarrelHillRace"	6	0.6	32.38
"33"	"TwoBreweriesFellRace"	18	5.2	170.25
"34"	"CockleroiHillRace"	4.5	0.85	28.1
"35"	"MoffatChase"	20	5	159.83
